QPS,RATIO,EFS,Method
32461.8485621379,1.0358760357379913,10,symphonyqg128
25788.479460461465,1.014047498202324,15,symphonyqg128
21230.616477593965,1.0086380914211273,20,symphonyqg128
18083.723340774373,1.0057582620739938,25,symphonyqg128
15923.694116057715,1.0042418252706529,30,symphonyqg128
12559.62342758686,1.0025990039944648,40,symphonyqg128
10599.71008647148,1.001676767373085,50,symphonyqg128
9160.45535609731,1.0012545176386833,60,symphonyqg128
7862.169625285492,1.000961982154846,70,symphonyqg128
7019.268795380204,1.0007243780255317,80,symphonyqg128
5951.119690767472,1.000452552652359,100,symphonyqg128
4189.273681105694,1.0001659164428711,150,symphonyqg128
3332.4524595797848,1.0000832221508027,200,symphonyqg128
2759.6835866268657,1.0000458340525626,250,symphonyqg128
2328.113125057532,1.0000396165966987,300,symphonyqg128
1824.564295823668,1.0000143989682198,400,symphonyqg128
