QPS,Recall,EFS,Method,Memory
14773.343558917917,25.15,10,symphonyqg32,6372.18359375
11843.545452333525,31.32,15,symphonyqg32,6372.18359375
9722.782036286291,35.99,20,symphonyqg32,6372.18359375
8349.198191861391,39.93,25,symphonyqg32,6372.18359375
7524.230102776947,43.33,30,symphonyqg32,6372.18359375
6291.189095983539,48.52,40,symphonyqg32,6372.18359375
5448.798972860035,52.71,50,symphonyqg32,6372.18359375
4711.52467464531,56.65999999999999,60,symphonyqg32,6372.18359375
4151.150567895538,59.57000000000001,70,symphonyqg32,6372.18359375
3812.9027588078643,61.779999999999994,80,symphonyqg32,6372.18359375
3246.52946052698,65.77,100,symphonyqg32,6372.18359375
2353.288594457949,72.69,150,symphonyqg32,6372.18359375
1923.1434566399446,76.72,200,symphonyqg32,6372.18359375
1603.1921616861353,80.05,250,symphonyqg32,6372.18359375
1351.7162890140285,82.67,300,symphonyqg32,6372.18359375
1075.8092109977247,86.03,400,symphonyqg32,6372.18359375
918.1174961421951,88.24,500,symphonyqg32,6372.18359375
807.5314425000132,89.95,600,symphonyqg32,6372.18359375
701.6356488422082,91.02,700,symphonyqg32,6372.18359375
599.8143495381017,92.10000000000001,800,symphonyqg32,6372.18359375
505.25932436221683,93.4,1000,symphonyqg32,6372.18359375
350.65666259747,95.59,1500,symphonyqg32,6372.18359375
271.1225684921101,96.73,2000,symphonyqg32,6372.18359375
209.74667021315062,97.37,2500,symphonyqg32,6372.18359375
179.23899034104886,97.89,3000,symphonyqg32,6372.18359375
131.40434779703267,98.59,4000,symphonyqg32,6372.18359375
100.73188197189654,98.92999999999999,5000,symphonyqg32,6372.18359375
79.63501847592458,99.09,6000,symphonyqg32,6372.18359375
63.094315916424954,99.22,7000,symphonyqg32,6372.18359375
54.45668859870868,99.39,8000,symphonyqg32,6372.18359375
39.429811010482084,99.49,10000,symphonyqg32,6372.18359375
21.486523015578673,99.72999999999999,15000,symphonyqg32,6372.18359375
13.741961372258178,99.83,20000,symphonyqg32,6372.18359375
